                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2162,                 3.3688,                 1.3285,                 1.1767,                0.10899,                    0.8,                 0.7964,                0.62009,                0.10899,                    0.8,                 0.7964,                0.31573,                0.99848,                 4.9835,                 2.2654,                 1.2145,             0.00039017,             0.00039017,             0.00039017
                     25,                 1.0354,                 2.8581,                 1.4471,                 1.1344,                0.39339,                    0.8,                0.80176,                0.63514,                0.39339,                    0.8,                 0.7964,                0.34101,                  1.038,                 4.9128,                 2.2843,                 1.1941,             0.00040397,             0.00040397,             0.00040397
                     26,                 1.0974,                 2.9186,                 1.2716,                 1.1008,                0.39339,                    0.8,                0.80176,                0.63514,                0.39339,                    0.8,                 0.7964,                0.34101,                  1.038,                 4.9128,                 2.2843,                 1.1941,              0.0004175,              0.0004175,              0.0004175
                     27,                 1.0332,                 3.2021,                 1.2771,                 1.0923,                      1,                0.71194,                0.80171,                0.61432,                      1,                0.71194,                0.80171,                0.36198,                0.97638,                 4.8259,                 2.1602,                 1.1772,             0.00043077,             0.00043077,             0.00043077
                     28,                 1.0385,                 2.5153,                 1.2737,                 1.0988,                      1,                0.71194,                0.80171,                0.61432,                      1,                0.71194,                0.80171,                0.36198,                0.97638,                 4.8259,                 2.1602,                 1.1772,             0.00044377,             0.00044377,             0.00044377
                     29,                 1.0089,                 2.6189,                 1.2811,                 1.1474,                      1,                0.70854,                0.80263,                0.61656,                      1,                0.70854,                0.80263,                 0.4553,                 1.0159,                 4.6449,                 1.9804,                 1.1747,             0.00045651,             0.00045651,             0.00045651
                     30,                 0.9593,                 2.6837,                 1.1421,                  1.144,                      1,                0.70854,                0.80263,                0.61656,                      1,                0.70854,                0.80263,                 0.4553,                 1.0159,                 4.6449,                 1.9804,                 1.1747,             0.00046899,             0.00046899,             0.00046899
                     31,                0.98647,                 3.0743,                 1.0981,                 1.1233,                      1,                0.78348,                  0.803,                0.55469,                      1,                0.78348,                  0.803,                0.47308,                 1.1115,                 4.4475,                 1.9204,                 1.1896,              0.0004812,              0.0004812,              0.0004812
                     32,                0.97468,                 2.9171,                 1.1819,                 1.0592,                      1,                0.78348,                  0.803,                0.55469,                      1,                0.78348,                  0.803,                0.47308,                 1.1115,                 4.4475,                 1.9204,                 1.1896,             0.00049315,             0.00049315,             0.00049315
                     33,                 1.1223,                 2.5435,                 1.2258,                 1.1595,                      1,                0.78114,                0.80564,                0.55447,                      1,                0.78114,                0.80564,                0.44402,                 1.2122,                 4.2508,                 1.7548,                 1.1693,             0.00050483,             0.00050483,             0.00050483
                     34,                0.95027,                 2.8923,                 1.0969,                 1.0639,                      1,                0.78114,                0.80564,                0.55447,                      1,                0.78114,                0.80564,                0.44402,                 1.2122,                 4.2508,                 1.7548,                 1.1693,             0.00051625,             0.00051625,             0.00051625
                     35,                0.91594,                  2.191,                 1.0218,                 1.0613,                      1,                0.78373,                0.81113,                0.55634,                      1,                0.78373,                0.81113,                0.43256,                  1.304,                 3.9822,                 1.6912,                  1.182,             0.00052741,             0.00052741,             0.00052741
                     36,                  1.073,                 2.3495,                 1.0673,                 1.1669,                      1,                0.78373,                0.81113,                0.55634,                      1,                0.78373,                0.81113,                0.43256,                  1.304,                 3.9822,                 1.6912,                  1.182,              0.0005383,              0.0005383,              0.0005383
                     37,                0.97558,                 2.2156,                 1.0905,                  1.043,                      1,                0.79969,                0.81461,                 0.5566,                      1,                0.79969,                0.81461,                  0.469,                 1.2071,                 3.8114,                 1.6651,                 1.1347,             0.00054893,             0.00054893,             0.00054893
                     38,                  1.147,                 2.6864,                 1.1767,                  1.168,                      1,                0.79969,                0.81461,                 0.5566,                      1,                0.79969,                0.81461,                  0.469,                 1.2071,                 3.8114,                 1.6651,                 1.1347,             0.00055929,             0.00055929,             0.00055929
                     39,                0.94582,                  2.193,                 1.1347,                 1.1274,                0.94983,                    0.8,                0.81286,                0.57733,                0.94983,                    0.8,                0.81286,                0.45634,                 1.2078,                 3.6099,                 1.7732,                 1.1895,             0.00056939,             0.00056939,             0.00056939
                     40,                 1.0286,                  2.112,                 1.1324,                 1.1142,                0.94983,                    0.8,                0.81286,                0.57733,                0.94983,                    0.8,                0.81286,                0.45634,                 1.2078,                 3.6099,                 1.7732,                 1.1895,             0.00057923,             0.00057923,             0.00057923
                     41,                 1.0087,                 2.3659,                 1.0869,                  1.068,                0.97454,                    0.8,                  0.815,                0.59642,                0.97454,                    0.8,                  0.815,                 0.4673,                 1.1305,                 3.4882,                 1.7848,                 1.1637,              0.0005888,              0.0005888,              0.0005888
                     42,                 1.0201,                 2.3526,                 1.0613,                 1.0724,                0.97454,                    0.8,                  0.815,                0.59642,                0.97454,                    0.8,                  0.815,                 0.4673,                 1.1305,                 3.4882,                 1.7848,                 1.1637,             0.00059811,             0.00059811,             0.00059811
                     43,                0.89758,                  2.192,                0.96546,                 1.0132,                0.97814,                    0.8,                0.83346,                0.52139,                0.97814,                    0.8,                0.83346,                0.44075,                 1.2018,                   3.33,                 1.6409,                 1.2599,             0.00060715,             0.00060715,             0.00060715
                     44,                0.96687,                  2.136,                 1.1502,                 1.1332,                0.97814,                    0.8,                0.83346,                0.52139,                0.97814,                    0.8,                0.83346,                0.44075,                 1.2018,                   3.33,                 1.6409,                 1.2599,             0.00061593,             0.00061593,             0.00061593
                     45,                  0.993,                 1.9643,                 1.0175,                 1.0899,                 0.9809,                    0.8,                 0.8575,                0.54234,                 0.9809,                    0.8,                 0.8575,                0.48839,                 1.3315,                 3.0564,                 1.5933,                 1.4673,             0.00062445,             0.00062445,             0.00062445
                     46,                 1.0222,                 1.8714,                 1.1617,                 1.2057,                 0.9809,                    0.8,                 0.8575,                0.54234,                 0.9809,                    0.8,                 0.8575,                0.48839,                 1.3315,                 3.0564,                 1.5933,                 1.4673,              0.0006327,              0.0006327,              0.0006327
                     47,                  1.216,                 2.1023,                 1.2922,                 1.2246,                0.97165,                    0.8,                0.88591,                0.60324,                0.97165,                    0.8,                0.88591,                0.50582,                 1.0712,                 2.8603,                 1.3886,                 1.2757,             0.00064069,             0.00064069,             0.00064069
                     48,                0.96302,                 2.1098,                0.99801,                 1.0478,                0.97165,                    0.8,                0.88591,                0.60324,                0.97165,                    0.8,                0.88591,                0.50582,                 1.0712,                 2.8603,                 1.3886,                 1.2757,             0.00064841,             0.00064841,             0.00064841
                     49,                0.87731,                 1.7421,                 1.0723,                 1.0726,                0.97186,                    0.8,                  0.895,                0.59301,                0.97186,                    0.8,                  0.895,                0.44219,                 0.9158,                 2.7395,                 1.3566,                 1.0552,             0.00065587,             0.00065587,             0.00065587
                     50,                0.94526,                 2.1507,                 1.0098,                 1.1341,                0.97186,                    0.8,                  0.895,                0.59301,                0.97186,                    0.8,                  0.895,                0.44219,                 0.9158,                 2.7395,                 1.3566,                 1.0552,             0.00066307,             0.00066307,             0.00066307
                     51,                0.83634,                 1.7995,                0.98626,                  1.038,                0.96845,                    0.8,                 0.8575,                0.62887,                0.96845,                    0.8,                 0.8575,                0.36717,                0.89511,                 2.6432,                 1.2966,                 1.0279,                0.00067,                0.00067,                0.00067
                     52,                0.95984,                 2.2004,                 0.9508,                 1.0446,                0.96845,                    0.8,                 0.8575,                0.62887,                0.96845,                    0.8,                 0.8575,                0.36717,                0.89511,                 2.6432,                 1.2966,                 1.0279,             0.00067667,             0.00067667,             0.00067667
                     53,                0.88444,                 2.2153,                 1.0396,                 1.0785,                0.96845,                    0.8,                 0.8575,                0.62887,                0.96845,                    0.8,                 0.8575,                0.36717,                0.89511,                 2.6432,                 1.2966,                 1.0279,             0.00068307,             0.00068307,             0.00068307
